City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
Rockford,Roc,79, IL,70,63,64,66,45,73,71,36.68,110,127,296863,125,96.4,59,119,66.71,379,150,375,44,92,41,5.3,314434,147051,95,"[42.2588, -89.0646]",42.2588,-89.0646,85,79
Lancaster,Lan,80, PA,36,47,73,22,6,35,25,35.47,50,131,402004,90,94.1,116,87,67.41,423,62,427,107,174,52,4.8,471446,160316,91,"[34.6936, -118.1753]",34.6936,-118.1753,86,80
Fort Wayne,For,81, IN,46,30,12,19,23,18,12,45.07,39,93,313492,118,96.2,69,205,65,310,263,371,175,86,45,5.1,652062,265904,56,"[41.0882, -85.1439]",41.0882,-85.1439,86,81
Madison,Mad,82, WI,53,46,67,67,52,40,74,69.47,109,6,401661,91,95.1,102,224,64.67,56,260,401,419,243,71,2.9,372035,255214,58,"[43.0878, -89.4299]",43.0878,-89.4299,86,82
Riverside,Riv,83, CA,65,66,52,49,58,48,50,29.95,98,137,1932666,21,94.2,115,114,66.78,182,140,93,312,271,41,5.3,314434,327728,47,"[33.9381, -117.3932]",33.9381,-117.3932,87,83
Salem,Sal,84, OR,73,67,61,78,78,78,78,40.7,69,114,1723634,27,97.4,14,198,65.08,236,192,29,137,372,34,6.4,473354,169798,88,"[44.9237, -123.0232]",44.9237,-123.0232,87,84
Pensacola,Pen,85, FL,77,78,64,76,65,70,77,43.2,133,106,340067,112,95.4,93,138,66.34,175,136,2,426,349,28,7.1,250981,170712,87,"[26.021, -80.3404]",26.021,-80.3404,88,85
Colorado Springs,Col,86, CO,20,14,53,3,2,9,9,63.63,79,12,559409,72,94.6,112,293,63.7,123,208,150,299,438,62,3.8,438531,464474,37,"[38.8673, -104.7607]",38.8673,-104.7607,89,86
El Paso,El ,87, TX,39,48,18,23,21,22,38,29.56,30,138,803086,52,95.7,83,213,64.93,269,250,37,119,276,45,5.1,652062,683577,20,"[31.8484, -106.427]",31.8484,-106.427,90,87
Columbia,Col,88, SC,69,36,26,32,12,61,33,49.02,130,69,549777,74,96.1,72,156,66.07,174,200,154,420,146,62,3.8,438531,121717,110,"[38.9473, -92.3264]",38.9473,-92.3264,90,88
Reno,Ren,89, NV,25,19,45,36,37,24,31,49.69,18,63,392141,93,95.3,99,244,64.43,190,112,123,139,467,51,4.8,382517,248853,60,"[39.5491, -119.8499]",39.5491,-119.8499,90,89
Miami,Mia,90, FL,66,74,22,27,19,21,18,47.05,9,82,5502379,4,95.6,89,262,64.12,427,182,88,64,370,11,8.7,424152,463347,38,"[25.7752, -80.2086]",25.7752,-80.2086,91,90
Pittsburgh,Pit,91, PA,68,58,57,50,53,37,41,54.19,26,37,1733853,26,94.9,107,271,63.99,251,267,484,431,100,15,8.3,305960,302407,50,"[40.4398, -79.9766]",40.4398,-79.9766,91,91
Reading,Rea,92, PA,25,19,45,36,37,24,31,33.05,105,133,884891,49,96.9,35,219,64.76,495,98,448,13,196,51,4.8,382517,177452,85,"[34.1233, -117.5642]",34.1233,-117.5642,91,92
Lakeland,Lak,93, FL,36,47,73,22,6,35,25,31.57,16,135,558696,73,97.1,28,175,65.54,389,276,308,34,24,52,4.8,471446,108054,128,"[28.0555, -81.9549]",28.0555,-81.9549,92,93
Lansing,Lan,94, MI,36,47,73,22,6,35,25,59.05,84,22,313532,117,97.2,20,310,63.23,462,202,113,227,360,52,4.8,471446,116986,117,"[42.7143, -84.5593]",42.7143,-84.5593,93,94
Ogden,Ogd,95, UT,52,73,46,62,61,69,67,48.9,150,71,546026,76,96.4,58,247,64.33,376,176,92,75,388,14,8.3,408222,116861,118,"[31.8838, -102.3411]",31.8838,-102.3411,93,95
Mobile,Mob,96, AL,41,34,68,57,42,59,53,38.14,10,122,326183,114,95.9,76,233,64.57,386,312,247,94,59,12,8.5,397663,190265,77,"[30.6684, -88.1002]",30.6684,-88.1002,94,96
Peoria,Peo,97, IL,77,78,64,76,65,70,77,46.31,122,88,340067,112,95.4,93,152,66.17,213,221,469,248,28,28,7.1,250981,112883,123,"[40.7515, -89.6174]",40.7515,-89.6174,94,97
Rochester,Roc,98, NY,70,63,64,66,45,73,71,53.36,125,41,720572,59,96.7,50,242,64.46,466,114,463,393,241,41,5.3,314434,115733,119,"[44.0154, -92.4772]",44.0154,-92.4772,94,98
Brownsville,Bro,99, TX,75,71,76,72,75,77,72,8.75,96,149,923311,47,93.1,119,136,66.35,283,149,344,46,228,3,9.4,650281,183299,82,"[25.9991, -97.455]",25.9991,-97.455,94,99
Cape Coral,Cap,100, FL,37,29,60,35,47,33,31,40.88,116,113,935906,45,97.3,19,303,63.4,319,211,133,371,398,20,7.9,259521,183365,81,"[26.6432, -81.9974]",26.6432,-81.9974,96,100
Vallejo,Val,101, CA,22,23,59,53,51,57,66,40.63,139,115,655479,61,96.9,34,278,63.93,263,339,179,1,257,18,7.9,347764,122105,109,"[38.1079, -122.264]",38.1079,-122.264,96,101
Visalia,Vis,102, CA,8,3,8,15,14,15,11,6.87,148,150,328454,113,95.7,85,170,65.58,111,177,48,239,386,69,3,448290,133010,105,"[36.3273, -119.3289]",36.3273,-119.3289,98,102
Myrtle Beach,Myr,103, SC,41,34,68,57,42,59,53,43.44,14,105,358172,104,97.5,10,309,63.24,143,264,163,205,426,12,8.5,397663,113326,122,"[33.5721, -117.1904]",33.5721,-117.1904,100,103
Shreveport,Shr,1, LA,40,32,54,54,50,56,57,37.69,29,124,298317,124,95.9,77,268,64.05,385,346,256,66,72,16,8.1,653477,192036,75,"[32.4669, -93.7922]",32.4669,-93.7922,100,104
Spokane,Spo,, WA,40,32,54,54,50,56,57,52.7,56,46,387847,95,96.8,41,404,60.87,354,383,189,171,396,16,8.1,653477,217108,64,"[47.6669, -117.4333]",47.6669,-117.4333,102,105
